"indicator_id","geo_type_id","geo_entity_id","year_id","data_value","unreliability_flag"
365,17,101,37,12.9,0
365,17,102,37,14.6,0
365,17,103,37,13.0,0
365,17,104,37,14.3,0
365,17,105,37,16.2,0
365,17,106,37,14.4,0
365,17,107,37,12.9,0
365,17,108,37,13.8,0
365,17,109,37,11.6,0
365,17,110,37,11.4,0
365,17,111,37,11.5,0
365,17,112,37,12.9,0
365,17,201,37,11.6,0
365,17,202,37,11.8,0
365,17,203,37,11.4,0
365,17,204,37,12.7,0
365,17,205,37,13.5,0
365,17,206,37,11.8,0
365,17,207,37,12.7,0
365,17,208,37,10.7,0
365,17,209,37,11.3,0
365,17,210,37,10.5,0
365,17,211,37,10.6,0
365,17,212,37,10.3,0
365,17,301,37,12.1,0
365,17,302,37,11.7,0
365,17,303,37,11.0,0
365,17,304,37,10.9,0
365,17,305,37,10.6,0
365,17,306,37,11.4,0
365,17,307,37,11.1,0
365,17,308,37,11.0,0
365,17,309,37,10.9,0
365,17,310,37,10.6,0
365,17,311,37,10.3,0
365,17,312,37,10.7,0
365,17,313,37,9.9,0
365,17,314,37,10.7,0
365,17,315,37,9.9,0
365,17,316,37,11.0,0
365,17,317,37,10.8,0
365,17,318,37,9.6,0
365,17,401,37,10.9,0
365,17,402,37,12.1,0
365,17,403,37,10.7,0
365,17,404,37,11.1,0
365,17,405,37,10.6,0
365,17,406,37,10.9,0
365,17,407,37,10.2,0
365,17,408,37,10.0,0
365,17,409,37,10.3,0
365,17,410,37,9.9,0
365,17,411,37,9.8,0
365,17,412,37,10.0,0
365,17,413,37,9.7,0
365,17,414,37,9.3,0
365,17,501,37,9.9,0
365,17,502,37,9.5,0
365,17,503,37,9.4,0
368,17,101,37,11.9,0
368,17,102,37,13.5,0
368,17,103,37,11.7,0
368,17,104,37,12.8,0
368,17,105,37,14.5,0
368,17,106,37,12.5,0
368,17,107,37,12.0,0
368,17,108,37,12.5,0
368,17,109,37,11.2,0
368,17,110,37,10.9,0
368,17,111,37,11.0,0
368,17,112,37,11.3,0
368,17,201,37,11.1,0
368,17,202,37,10.7,0
368,17,203,37,10.9,0
368,17,204,37,12.0,0
368,17,205,37,12.9,0
368,17,206,37,10.9,0
368,17,207,37,11.7,0
368,17,208,37,9.3,0
368,17,209,37,10.1,0
368,17,210,37,9.8,0
368,17,211,37,10.0,0
368,17,212,37,9.8,0
368,17,301,37,11.5,0
368,17,302,37,11.1,0
368,17,303,37,10.7,0
368,17,304,37,10.3,0
368,17,305,37,9.4,0
368,17,306,37,10.8,0
368,17,307,37,9.8,0
368,17,308,37,10.8,0
368,17,309,37,10.7,0
368,17,310,37,10.0,0
368,17,311,37,10.1,0
368,17,312,37,10.3,0
368,17,313,37,9.6,0
368,17,314,37,10.2,0
368,17,315,37,9.3,0
368,17,316,37,10.6,0
368,17,317,37,10.2,0
368,17,318,37,8.8,0
368,17,401,37,10.2,0
368,17,402,37,11.1,0
368,17,403,37,10.3,0
368,17,404,37,10.4,0
368,17,405,37,9.5,0
368,17,406,37,10.3,0
368,17,407,37,9.5,0
368,17,408,37,9.4,0
368,17,409,37,9.9,0
368,17,410,37,9.2,0
368,17,411,37,9.1,0
368,17,412,37,9.6,0
368,17,413,37,9.2,0
368,17,414,37,9.0,0
368,17,501,37,9.4,0
368,17,502,37,8.8,0
368,17,503,37,8.9,0
369,17,101,37,14.1,0
369,17,102,37,15.4,0
369,17,103,37,14.3,0
369,17,104,37,16.2,0
369,17,105,37,17.7,0
369,17,106,37,15.8,0
369,17,107,37,13.6,0
